index,car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost,ttb_bluebook_id,
1076,2020,Mazda,2,1.3,S Sports,Hatchback,AT,15,25,silver,27500,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12610995?auc=true,448000,83,
1021,2018,Mazda,CX-3,2,SP,SUV,AT,15,22,red,102500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11584160,509000,995,
466,2014,Mazda,BT-50 PRO,2.2,FREE STYLE CAB V,Pickup,MT,14,21,silver,107500,2023-10-25,mazda-bt-50-pro-v-ภาคตะวันออก-อำเภอเมืองชลบุรี/12825902,239000,903,
696,2016,Mazda,CX-3,2,SP,SUV,AT,15,22,white,137382,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12266172,478000,1011,
435,2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,red,18607,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12808579?carsome=true,378900,151,
1636,2016,Mazda,2,1.3,Sports Standard,Hatchback,AT,15,25,white,65987,2023-10-25,mazda-2-sports-standard-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12849127?auc=true,309000,182,
1913,2019,Mazda,2,1.3,High Connect,Sedan,AT,15,25,white,54987,2023-10-25,mazda-2-high-connect-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12720770?auc=true,419000,98,
273,2021,Mazda,CX-30,2,SP,SUV,AT,20,25,white,32500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-อำเภอเมืองสมุทรปราการ/12549775,859000,1028,
30,2016,Mazda,2,1.3,High Connect,Sedan,AT,15,25,blue,152500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12815141,357900,177,
534,2019,Mazda,2,1.3,S Sports,Hatchback,AT,15,22,black,47315,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11837526?auc=true,437000,97,
1986,2019,Mazda,2,1.3,S Leather,Sedan,AT,15,25,white,57150,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-พระราม3-สาทร-พระราม4/12609287,439700,92,
771,2018,Mazda,CX-3,2,S,SUV,AT,15,22,brown,67500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12690581,571900,995,
1452,2016,Mazda,CX-5,2,S,SUV,AT,13,16,white,102500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12025586?auc=true,419000,1099,
433,2017,Mazda,3,2,S Sports,Hatchback,AT,14,18,black,123019,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12430417?carsome=true,528900,413,
1805,2018,Mazda,CX-5,2,SP,SUV,AT,17,23,blue,132500,2023-10-25,mazda-cx-5-sp-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12808323,628000,1079,
2159,2019,Mazda,2,1.3,High Connect,Sedan,AT,15,22,white,77500,2023-10-25,mazda-2-high-connect-ภาคตะวันออก-อำเภอศรีราชา/12062368,419000,98,
1339,2016,Mazda,3,2,S Sports,Hatchback,AT,14,18,gray,82500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-อำเภอบางใหญ่/12104441?auc=true,459000,423,
543,2011,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9,14,white,157500,2023-10-25,mazda-2-elegance-spirit-ภาคตะวันออก-อำเภอเมืองระยอง/12603655,199000,314,
1987,2018,Mazda,2,1.3,High Connect,Sedan,AT,15,25,brown,112081,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/12578737,372000,116,
975,2011,Mazda,2,1.5,Spirit Sports,Sedan,AT,9,14,silver,147500,2023-10-25,mazda-2-spirit-sports-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/9331888,188000,319,
113,2011,Mazda,2,1.5,Sports Groove,Hatchback,AT,9,14,white,162500,2023-10-25,mazda-2-sports-groove-ภาคใต้-อำเภอเมืองปัตตานี/12603193,155000,304,
1629,2019,Mazda,3,2,SP Sports,Hatchback,AT,19,24,red,62500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12836156,679000,378,
539,2021,Mazda,CX-30,2,SP,SUV,AT,20,25,gray,67500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12590198?auc=true,754000,1028,
1052,2020,Mazda,3,2,SP Sports,Hatchback,AT,19,24,gray,111939,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12730681,695000,366,
2109,2018,Mazda,2,1.3,Sports Standard,Hatchback,AT,15,25,gray,67500,2023-10-25,mazda-2-sports-standard-ภาคใต้-อำเภออ่าวลึก/12360292,355000,128,
44,2022,Mazda,2,1.3,S Sports,Hatchback,AT,15,25,white,28000,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-อำเภอธัญบุรี/12023033,428000,37,
927,2021,Mazda,2,1.3,S,Sedan,AT,15,25,black,61291,2023-10-25,mazda-2-s-ภาคตะวันออก-อำเภอบางละมุง/12644742,439000,60,
246,2016,Mazda,2,1.5,XD Sport High Plus L,Hatchback,AT,15,25,blue,102500,2023-10-25,mazda-2-xd-sport-high-plus-l-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12426719,384900,193,
17,2020,Mazda,CX-30,2,SP,SUV,AT,20,25,white,65472,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12284681?carsome=true,758900,1032,
1941,2019,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15,25,white,49185,2023-10-25,mazda-2-sports-high-plus-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/12719760,419700,103,
1817,2020,Mazda,CX-3,2,Base,SUV,AT,15,22,red,67500,2023-10-25,mazda-cx-3-base-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12802784,499000,968,
178,2018,Mazda,CX-5,2,S,SUV,AT,13,16,gray,2500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11272975?auc=true,568000,1077,
329,2019,Mazda,2,1.3,High Connect,Sedan,AT,15,25,red,72500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12743269?carsome=true,418900,98,
752,2017,Mazda,2,1.5,XD Sports,Hatchback,AT,15,25,white,132500,2023-10-25,mazda-2-xd-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12700842?auc=true,349000,168,
729,2014,Mazda,3,2,SP Sports,Hatchback,AT,14,18,red,167500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12765035,356900,461,
1407,2021,Mazda,CX-30,2,SP,SUV,AT,20,25,black,67607,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12150443?auc=true,799999,1028,
261,2020,Mazda,2,1.3,S,Sedan,AT,15,25,gray,17500,2023-10-25,mazda-2-s-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12561219?auc=true,375000,82,
2021,2016,Mazda,CX-5,2,C,SUV,AT,13,16,white,132500,2023-10-25,mazda-cx-5-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11676453,469000,1097,
638,2021,Mazda,3,2,Sports 100th Anniversary Edition,Hatchback,AT,19,24,white,40000,2023-10-25,mazda-3-sports-100th-anniversary-edition-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12604478,838000,357,
1925,2012,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9,14,gray,117848,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12728850?auc=true,248000,290,
1081,2019,Mazda,2,1.3,High Connect,Sedan,AT,15,25,black,7500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12629956?auc=true,389000,98,
1237,2019,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,14,21,black,77500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11839115?auc=true,329900,715,
1797,2018,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,sky,95367,2023-10-25,mazda-2-sports-high-connect-ภาคตะวันออก-อำเภอบางละมุง/12782771,389000,122,
2049,2012,Mazda,BT-50 PRO,3.2,DOUBLE CAB R 4WD,Pickup,AT,14,21,black,142500,2023-10-25,mazda-bt-50-pro-r-ภาคใต้-อำเภอเมืองสงขลา/12319293,378000,937,
1406,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,22,blue,50352,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11950592?auc=true,359999,101,
